,virus name,species,genus,family,Host plasticity No of species,Host plasticity No of species Impact,Host plasticity No of orders,Host plasticity No of orders Impact,Geography of the host,Geography of the host Impact,Number of primary high risk disease transmission interfaces where the virus has been detected,Number of primary high risk disease transmission interfaces where the virus has been detected Impact,Frequency of interaction between domestic animals and humans in the host ecosystem,Frequency of interaction between domestic animals and humans in the host ecosystem Impact,Intimacy of interaction between domestic animals and humans in the host ecosystem,Intimacy of interaction between domestic animals and humans in the host ecosystem Impact,Frequency of interaction between wild animals and humans in the host ecosystem,Frequency of interaction between wild animals and humans in the host ecosystem Impact,Intimacy of interaction between wild animals and humans in the host ecosystem,Intimacy of interaction between wild animals and humans in the host ecosystem Impact,Genetic relatedness between the host species and humans,Genetic relatedness between the host species and humans Impact,Land use in host ecosystem,Land use in host ecosystem Impact,Livestock density in host ecosystem,Livestock density in host ecosystem Impact,Human population density in host ecosystem,Human population density in host ecosystem Impact,Deforestation in host ecosystem,Deforestation in host ecosystem Impact,Urbanization in host ecosystem,Urbanization in host ecosystem Impact,Agricultural system change in host ecosystem,Agricultural system change in host ecosystem Impact,Genome classification of the virus,Genome classification of the virus Impact,Envelope status of the virus,Envelope status of the virus Impact,Viral genome segmentation,Viral genome segmentation Impact,Virus species infectivity in humans,Virus species infectivity in humans Impact,Virus species infectivity in terrestrial mammals excluding humans,Virus species infectivity in terrestrial mammals excluding humans Impact,Proportion of virus species known to infect humans in the viral family,Proportion of virus species known to infect humans in the viral family Impact,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family,Proportion of virus species known to infect terrestrial mammals excluding humans in the viral family Impact,Proportion of viruses within a viral family that are known to infect more than 1 host species,Proportion of viruses within a viral family that are known to infect more than 1 host species Impact,Epidemicity of the virus species,Epidemicity of the virus species Impact,Geography of the virus in animals,Geography of the virus in animals Impact,Pandemic virus,Pandemic virus Impact,Proportion of known human pathogens in the viral family,Proportion of known human pathogens in the viral family Impact,Transmission mode of the virus,Transmission mode of the virus Impact,Animal to human transmission,Animal to human transmission Impact,Human to human transmission,Human to human transmission Impact,Duration of virus species infection in humans,Duration of virus species infection in humans Impact,Risk Score
126,ROUSETTUS BAT CORONAVIRUS/NRC-1,Rousettus Bat Coronavirus/NRC-1,Betacoronavirus,Coronaviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
127,PARAMYXOVIRUS PREDICT PMV-174,Paramyxovirus PREDICT PMV-174,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
128,CORONAVIRUS PREDICT COV-87,Coronavirus PREDICT CoV-87,Alphacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
129,PARAMYXOVIRUS PREDICT PMV-173,Paramyxovirus PREDICT PMV-173,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
130,BAT CORONAVIRUS PHILIPPINES/DILIMAN1525G2/2008,Bat coronavirus Philippines/Diliman1525G2/2008,Betacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
131,CORONAVIRUS PREDICT COV-43,Coronavirus PREDICT CoV-43,Betacoronavirus,Coronaviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
132,PARAMYXOVIRUS PREDICT PMV-179,Paramyxovirus PREDICT PMV-179,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
133,PICORNAVIRUS PREDICT_PICORNAV-1,Picornavirus PREDICT_PicornaV-1,Unassigned,Picornaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
134,PICORNAVIRUS PREDICT_PICORNAV-4,Picornavirus PREDICT_PicornaV-4,Unassigned,Picornaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
135,CORONAVIRUS PREDICT COV-114,Coronavirus PREDICT CoV-114,Alphacoronavirus,Coronaviridae,LOW-MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
136,PARAMYXOVIRUS PREDICT PMV-134,Paramyxovirus PREDICT PMV-134,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
137,MAMASTROVIRUS PREDICT MASTV-57,Mamastrovirus PREDICT MAstV-57,Mamastrovirus,Astroviridae,LOW-MEDIUM,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
138,PICORNAVIRUS PREDICT_PICORNAV-2,Picornavirus PREDICT_PicornaV-2,Unassigned,Picornaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
139,PICORNAVIRUS PREDICT_PICORNAV-3,Picornavirus PREDICT_PicornaV-3,Unassigned,Picornaviridae,LOW,HIGH,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
140,SIMIAN RETROVIRUS TYPE D,Mason-Pfizer monkey virus,Betaretrovirus,Retroviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,MEDIUM,64
141,PARAMYXOVIRUS PREDICT PMV-185,Paramyxovirus PREDICT PMV-185,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
142,PARAMYXOVIRUS PREDICT PMV-90,Paramyxovirus PREDICT PMV-90,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
143,MAMASTROVIRUS PREDICT MASTV-58,Mamastrovirus PREDICT MAstV-58,Mamastrovirus,Astroviridae,MEDIUM,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
144,BAT ADENOVIRUS 1,Bat adenovirus 1,Unassigned,Adenoviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
145,PARAMYXOVIRUS PREDICT PMV-117,Paramyxovirus PREDICT PMV-117,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
146,ORANGUTAN SIMIAN FOAMY VIRUS,Simian foamy virus,Spumavirus,Retroviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM-HIGH,HIGH,MEDIUM-HIGH,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,HIGH,MEDIUM,64
147,PARAMYXOVIRUS PREDICT PMV-175,Paramyxovirus PREDICT PMV-175,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
148,PARAMYXOVIRUS PREDICT PMV-178,Paramyxovirus PREDICT PMV-178,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
149,BAT CORONAVIRUS ANLONG 57/43,Bat coronavirus Anlong 57/43,Alphacoronavirus,Coronaviridae,LOW-MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,64
150,PARAMYXOVIRUS PREDICT PMV-40,Paramyxovirus PREDICT PMV-40,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
151,PARAMYXOVIRUS PREDICT PMV-46,Paramyxovirus PREDICT PMV-46,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
152,CORONAVIRUS PREDICT COV-37,Coronavirus PREDICT CoV-37,Alphacoronavirus,Coronaviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
153,BAT ASTROVIRUS TM/GUANGXI/LD39/2007,Bat astrovirus Tm/Guangxi/LD39/2007,Mamastrovirus,Astroviridae,MEDIUM,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM-HIGH,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,LOW-MEDIUM,HIGH,HIGH,MEDIUM,LOW-MEDIUM,MEDIUM,LOW,HIGH,MEDIUM-HIGH,MEDIUM,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,63
154,PARAMYXOVIRUS PREDICT PMV-141,Paramyxovirus PREDICT PMV-141,Unassigned,Paramyxoviridae,LOW,HIGH,LOW,HIGH,MEDIUM-HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,LOW,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,HIGH,HIGH,HIGH,MEDIUM,HIGH,MEDIUM-HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,HIGH,LOW,MEDIUM,LOW,HIGH,LOW-MEDIUM,HIGH,MEDIUM,HIGH,LOW,HIGH,LOW,HIGH,LOW,MEDIUM,62
